I,ID,Aigle Pôle Physio-Ergo d'Aigle,Biotonus,CIC,Centre Hospitalier Universitaire Vaudois,Chamoyron,Château-d'Oex,Clinique Bois-Bougy,Clinique Bois-Cerf,Clinique Cecil,Clinique La Prairie,Clinique Valmont,Clinique de Genolier,Clinique de Montchoisi,Clinique de la Source,Clinique la Lignière,Clinique la Métairie,Espace Santé Rennaz,Fondation Rive-Neuve,Grand-Chêne,HRC,Hôpital d'Orbe,Hôpital d'Yverdon-les-Bains,Hôpital de Chamblon,Hôpital de Gilly,Hôpital de Lavaux,Hôpital de Morges,Hôpital de Nyon,Hôpital de Rolle,Hôpital de Saint-Loup,Hôpital de la Vallée de Joux,Hôpital ophtalmique Jules-Gonin,Hôpital psychiatrique Nant,Hôpital d'Aubonne,Institution de Lavigny,La Tour-de-Peilz,Les Communaux,Les Moulins,Les Rosiers,Molage,Montreux,Mottex Réadaptation/gériatrie,Moudon,Payerne,Permanence de Cossonay,Providence Permanence médicale Riviera Réadaptation/gériatrie,Psychiatrie Nord CPNVD,Psychiatrie Ouest Hôpital de Prangins,Pôle Santé Pays-d'Enhaut,Rennaz Centre hospitalier de Rennaz,Samaritain Site administratif
177,Aclens,45246.94298,34922.87591,32420.85619,10927.39241,30067.65535,48354.90528,30587.90892,11019.1978,9966.296368,31771.02009,35823.981,26303.24226,11474.6369,9989.576535,23097.2546,30539.08644,37794.2272,30682.29528,44919.57815,37753.79649,18176.23563,25066.09164,24804.54885,19106.0536,18502.97732,5025.443491,29830.13701,16977.71838,11074.2011,22538.5387,9807.649687,27983.8673,12618.68145,10471.98008,29694.96921,28432.26839,27839.8072,28084.33648,44637.3279,34033.8484,31051.4656,25004.00878,43505.62437,5281.689022,29000.64891,26094.04433,27024.82358,49340.96733,37753.76305,28881.46539
179,Agiez,57570.91627,45097.04257,42668.61132,23846.87021,39573.64688,54700.99056,44112.44886,24872.27358,23767.17995,42067.37591,45920.16948,37781.2636,25238.03558,23225.3065,36653.29533,44042.46245,49353.62834,40304.78354,57225.11869,49257.28541,2227.864536,12066.89585,10156.79928,31784.41943,30366.07051,21911.46936,43121.32412,30926.47085,5899.97378,25611.33047,23350.78657,37530.78761,26969.71378,25242.3202,40158.84671,38755.55808,38094.87317,11159.19009,56764.26697,44179.70948,40740.99966,23071.54294,35189.2327,11695.53297,39316.62263,12680.75438,40558.09066,55378.40648,49257.26015,39076.37149
0,Aigle,1032.805771,12806.69036,14708.57744,33771.21417,18088.76873,21368.31674,56695.50407,33352.86014,34454.95767,15180.3081,12304.8867,58989.07169,32902.91934,34627.37926,53081.02481,56729.54943,7412.525273,17362.42552,687.1833644,7553.014193,56330.42862,55981.02133,58045.82665,53230.28505,26427.13599,42132.67352,56937.76006,49989.3497,52301.70705,65005.3192,34701.27144,19785.0815,48108.03907,46984.24784,16764.17844,18146.05349,18796.44312,66243.02081,568.5114925,13573.88444,16930.04614,40987.10347,55753.59043,48135.99408,17633.705,56957.07744,54895.74733,22576.73176,7553.029716,17932.74595
178,Allaman,47522.5528,40642.39135,38374.06615,19801.74039,37039.86552,56205.38763,16691.43687,18734.80193,18359.21927,37761.83612,41518.81034,13897.32027,19057.78862,19029.64229,9405.233318,16649.50294,41696.98418,37463.3968,47244.94343,41726.37105,30781.46692,38755.7848,38140.5082,6848.810281,25526.95846,9979.854839,16025.08452,3694.247691,23395.30404,19743.68415,18605.34701,35228.20291,2430.982582,3839.813371,35812.68295,34882.99478,34451.63331,39585.83006,47214.51117,39886.23049,37720.58416,38296.57183,57357.8761,18123.52694,35369.96791,39739.48966,13193.86958,57358.3395,41726.33161,35386.76027
176,Arnex-sur-Nyon,60116.7864,56346.85466,54368.17988,38281.18622,53708.3472,72658.66608,2880.205603,37046.22329,36845.30145,53818.30579,57154.09926,8146.027652,37307.80845,37588.91233,9491.932907,2851.356441,56057.51916,54001.27879,59903.56577,56137.0542,47423.6249,56330.78237,55249.39451,13783.20198,43015.80966,28844.31169,2948.073482,15590.89256,40354.99698,25352.65227,37148.73805,52144.30848,19945.35686,22102.01009,52073.82116,51395.40313,51080.61871,54649.88151,60094.98034,55722.48066,54179.94863,57159.98724,76066.93858,35891.2129,51804.6518,57229.74102,5726.631365,73890.44347,56137.0132,51896.45023
175,Arnex-sur-Orbe,54841.4808,42540.34972,40090.10792,20913.0325,37051.09929,52663.11028,41985.34018,21910.66687,20800.78233,39480.16938,43376.26644,35952.8304,22281.66134,20273.69297,34468.75196,41918.71474,46674.93874,37775.52871,54496.67322,46583.7395,4216.544059,13163.17432,11829.99627,29688.27213,27553.54068,19049.60466,41029.5224,28620.94217,3182.314691,24924.55502,20389.71568,34987.06892,24551.23772,22737.93167,37542.46775,36143.25633,35484.34565,14126.63676,54052.11797,41620.80832,38207.87706,21829.68384,35543.67089,8850.759038,36709.09546,13957.11305,38407.30863,53386.29603,46583.71334,36479.16585
290,Arzier-Le Muids,60531.76427,54704.56989,52496.87641,33925.16683,51287.78919,70456.23151,9415.443995,32950.11506,32493.21447,51896.33898,55567.14471,1339.731763,33291.80538,33104.45964,7002.29111,9319.100091,55351.02842,51692.00645,60279.07998,55398.2589,39274.06161,48544.44873,47209.59256,7535.309224,39829.9255,23499.96026,8215.852201,10618.1461,32501.75137,16167.23326,32697.4025,49504.15108,14294.06458,16366.5411,49983.67807,49099.21278,48686.31162,45900.96557,60341.25409,53977.98313,51936.51906,51233.90798,69352.16071,28662.64437,49573.67585,49380.35671,7432.243049,71620.64529,55398.21862,49604.18871
297,Assens,43402.31078,31164.15555,28696.33287,10247.58623,25723.39941,42209.84781,40172.71678,11562.23424,10591.72207,28079.5154,32012.0107,36012.88972,11838.63056,9853.413609,32739.30132,40127.76634,35227.44671,26437.71545,43057.07332,35136.83115,14176.95418,17560.95768,18258.8262,28825.72073,16205.62114,13679.78179,39455.58799,26634.20012,10308.04993,30314.47166,10109.67881,23638.42977,22287.63267,20124.71792,26121.47986,24726.3062,24069.34675,24486.56291,42607.22544,30243.59784,26864.44699,15388.94011,33864.84946,8577.081774,25295.10159,18661.76511,36636.3182,43040.10746,35136.80487,25073.52282
294,Aubonne,49230.04846,41720.02267,39387.1604,19847.58366,37843.59515,56957.04089,18050.67774,18958.34693,18428.16741,38761.7225,42608.48088,13993.34103,19324.42737,19004.87934,10509.90843,17997.04615,43103.71093,38309.06557,48943.22577,43121.58267,28566.57505,36844.6146,36077.66222,6677.52748,26134.14278,9362.797203,17247.37035,4396.078361,21218.9037,17331.13163,18607.21693,35957.7024,375.8219839,2240.163554,36767.53657,35763.55546,35295.88743,37122.7679,48873.80522,40932.4853,38590.70192,37413.81305,56120.26639,16200.29904,36271.9389,37800.91327,14464.3239,58078.96614,43121.54392,36262.89226
275,Avenches,63510.97399,50760.13295,49920.26281,49842.4406,47145.56397,45600.17497,83804.63631,51394.93693,51069.1367,49796.51023,50934.70919,79303.9663,51345.95913,50188.50325,76355.67827,83759.56683,56373.19366,47635.45527,63228.77114,56172.38312,42070.97291,32287.58783,34738.513,72279.20124,49382.92841,57234.06049,83080.59989,70240.28365,47280.62027,69771.4808,50628.19676,46644.27045,65883.33892,63729.87575,49461.85233,48667.75559,48309.1844,42145.98887,62401.07875,50298.389,47930.84465,29531.54372,9767.493011,50400.88788,48838.7537,31851.49264,80264.73545,45142.85854,56172.39102,48493.23813
