Commune,District,Population,Demand_Beds,Closest_Distance_km,Closest_Hospital,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,Pop_2021,Pop_2022,Pop_2023,Pop_2024
Aclens,Morges,609,1.3681643835616437,5.025443491,Hôpital de Morges,545,535,539,528,517,557,578,587,609
Agiez,Jura-Nord vaudois,382,0.8581917808219178,2.2278645360000002,Hôpital d'Orbe,314,327,354,377,375,381,383,373,382
Aigle,Aigle,12081,27.14087671232877,0.5685114925,Molage,10153,10134,10217,10518,10823,10937,11437,11780,12081
Allaman,Morges,412,0.9255890410958904,2.430982582,Hôpital d'Aubonne,442,434,451,443,430,420,431,430,412
Arnex-sur-Nyon,Nyon,274,0.6155616438356165,2.851356441,Clinique la Métairie,224,235,229,240,226,240,242,267,274
Arnex-sur-Orbe,Jura-Nord vaudois,698,1.5681095890410959,3.182314691,Hôpital de Saint-Loup,642,631,633,637,665,692,661,697,698
Arzier-Le Muids,Nyon,2999,6.737479452054795,1.339731763,Clinique de Genolier,2653,2697,2801,2912,2947,2954,2971,2968,2999
Assens,Gros-de-Vaud,1747,3.9247671232876717,8.577081774,Permanence de Cossonay,1569,1593,1595,1666,1669,1669,1698,1711,1747
Aubonne,Morges,3896,8.752657534246577,0.37582198390000005,Hôpital d'Aubonne,3803,3778,3817,3764,3780,3792,3841,3862,3896
Avenches,Broye-Vully,4953,11.127287671232876,9.767493011000001,Payerne,4210,4282,4305,4482,4617,4696,4873,4895,4953
Ballaigues,Jura-Nord vaudois,1217,2.7340821917808222,9.280916801,Hôpital d'Orbe,1095,1075,1108,1143,1173,1152,1193,1209,1217
Ballens,Morges,580,1.303013698630137,6.290738875,Institution de Lavigny,527,536,545,562,567,590,576,579,580
Bassins,Nyon,1468,3.297972602739726,2.358372418,Clinique de Genolier,1356,1347,1395,1475,1487,1478,1483,1484,1468
Baulmes,Jura-Nord vaudois,1189,2.6711780821917808,3.892353466,Les Rosiers,1053,1027,1042,1074,1126,1132,1146,1168,1189
Bavois,Jura-Nord vaudois,1055,2.37013698630137,5.100011848,Hôpital de Saint-Loup,928,942,952,994,978,1009,1037,1041,1055
Begnins,Nyon,2047,4.5987397260273974,2.357796021,Clinique de Genolier,1910,1952,1931,1928,1940,1938,2008,2041,2047
Belmont-sur-Lausanne,Lavaux-Oron,3891,8.741424657534246,3.080199251,Centre Hospitalier Universitaire Vaudois,3662,3732,3773,3756,3871,3835,3896,3922,3891
Belmont-sur-Yverdon,Jura-Nord vaudois,457,1.0266849315068494,3.781828795,Hôpital d'Yverdon-les-Bains,378,384,374,396,415,434,443,445,457
Bercher,Gros-de-Vaud,1359,3.053095890410959,7.569125913,Moudon,1221,1239,1280,1323,1320,1359,1330,1344,1359
Berolle,Morges,300,0.673972602739726,8.5076363,Hôpital d'Aubonne,301,307,300,313,308,303,304,303,300
Bettens,Gros-de-Vaud,652,1.4647671232876716,5.654411161,Permanence de Cossonay,574,592,650,636,626,650,644,653,652
Bex,Aigle,8923,20.046191780821918,7.464352971,Aigle Pôle Physio-Ergo d'Aigle,7719,7757,7869,7828,8060,8151,8508,8806,8923
Bière,Morges,1701,3.8214246575342465,6.428672839,Hôpital d'Aubonne,1577,1595,1596,1627,1635,1683,1717,1680,1701
Bioley-Magnoux,Jura-Nord vaudois,252,0.5661369863013699,7.169325874,Hôpital d'Yverdon-les-Bains,225,225,228,230,234,247,253,257,252
Blonay - Saint-Légier,Riviera-Pays-d'Enhaut,12597,28.300109589041092,0.6791864828,Fondation Rive-Neuve,11350,11360,11394,11737,11924,12123,12340,12463,12597
Bofflens,Jura-Nord vaudois,201,0.4515616438356164,3.96246721,Hôpital d'Orbe,191,196,194,206,206,204,194,200,201
Bogis-Bossey,Nyon,961,2.158958904109589,5.354266931,Clinique Bois-Bougy,893,867,825,835,888,923,983,990,961
Bonvillars,Jura-Nord vaudois,517,1.1614794520547944,6.643138665,Psychiatrie Nord CPNVD,495,505,490,489,481,501,526,518,517
Borex,Nyon,1168,2.624,3.819309058,Hôpital de Nyon,1126,1140,1132,1157,1164,1131,1135,1144,1168
Bottens,Gros-de-Vaud,1389,3.1204931506849314,10.151037120000002,Clinique de la Source,1263,1298,1299,1330,1357,1356,1378,1358,1389
Bougy-Villars,Morges,493,1.1075616438356164,1.836464602,Hôpital de Rolle,483,490,475,477,496,506,512,511,493
Boulens,Gros-de-Vaud,371,0.8334794520547946,6.397606436,Moudon,377,384,361,369,371,383,379,368,371
Bourg-en-Lavaux,Lavaux-Oron,5558,12.486465753424659,0.6054751687000001,Hôpital de Lavaux,5288,5367,5345,5389,5366,5389,5411,5465,5558
Bournens,Gros-de-Vaud,612,1.374904109589041,4.562943683,Permanence de Cossonay,419,404,422,490,507,514,519,532,612
Boussens,Gros-de-Vaud,1016,2.2825205479452055,6.171845491,Permanence de Cossonay,982,968,993,999,1001,1009,1023,1007,1016
Bremblens,Morges,596,1.338958904109589,2.889791539,Hôpital de Morges,547,548,577,583,607,604,614,615,596
Bretigny-sur-Morrens,Gros-de-Vaud,893,2.0061917808219176,7.850201701,Clinique de la Source,825,843,861,859,882,878,893,898,893
Bretonnières,Jura-Nord vaudois,265,0.5953424657534246,5.050460836999999,Hôpital d'Orbe,262,265,269,268,266,264,259,261,265
Buchillon,Morges,682,1.5321643835616439,3.3675577280000004,Hôpital d'Aubonne,638,650,686,686,669,670,687,686,682
Bullet,Jura-Nord vaudois,687,1.5433972602739727,4.394300931,Les Rosiers,644,655,657,657,657,651,675,682,687
Bursinel,Nyon,535,1.2019178082191782,2.0854939100000003,Clinique la Lignière,488,471,473,491,515,503,521,530,535
Bursins,Nyon,831,1.866904109589041,2.456251206,Hôpital de Gilly,745,752,782,773,773,766,796,825,831
Burtigny,Nyon,406,0.912109589041096,3.563134039,Hôpital de Gilly,361,391,390,404,416,414,412,401,406
Bussigny,Ouest lausannois,12138,27.268931506849313,5.193666889,Hôpital de Morges,8677,8759,8962,9614,10248,10392,10645,11667,12138
