Commune,Aigle Pôle Physio-Ergo d'Aigle,Biotonus,CIC,Centre Hospitalier Universitaire Vaudois,Chamoyron,Château-d'Oex,Clinique Bois-Bougy,Clinique Bois-Cerf,Clinique Cecil,Clinique La Prairie,Clinique Valmont,Clinique de Genolier,Clinique de Montchoisi,Clinique de la Source,Clinique la Lignière,Clinique la Métairie,Espace Santé Rennaz,Fondation Rive-Neuve,Grand-Chêne,HRC,Hôpital d'Orbe,Hôpital d'Yverdon-les-Bains,Hôpital de Chamblon,Hôpital de Gilly,Hôpital de Lavaux,Hôpital de Morges,Hôpital de Nyon,Hôpital de Rolle,Hôpital de Saint-Loup,Hôpital de la Vallée de Joux,Hôpital ophtalmique Jules-Gonin,Hôpital psychiatrique Nant,Hôpital d'Aubonne,Institution de Lavigny,La Tour-de-Peilz,Les Communaux,Les Moulins,Les Rosiers,Molage,Montreux,Mottex Réadaptation/gériatrie,Moudon,Payerne,Permanence de Cossonay,Providence Permanence médicale Riviera Réadaptation/gériatrie,Psychiatrie Nord CPNVD,Psychiatrie Ouest Hôpital de Prangins,Pôle Santé Pays-d'Enhaut,Rennaz Centre hospitalier de Rennaz,Samaritain Site administratif
Aclens,45.24694298,34.92287591,32.42085619,10.92739241,30.067655350000003,48.35490528,30.58790892,11.0191978,9.966296368,31.77102009,35.823980999999996,26.303242259999998,11.4746369,9.989576535,23.0972546,30.53908644,37.7942272,30.682295279999998,44.91957815,37.75379649,18.17623563,25.06609164,24.80454885,19.1060536,18.502977320000003,5.025443491,29.830137009999998,16.97771838,11.0742011,22.5385387,9.807649687,27.9838673,12.61868145,10.47198008,29.69496921,28.43226839,27.8398072,28.08433648,44.637327899999995,34.033848400000004,31.0514656,25.00400878,43.50562437,5.281689021999999,29.00064891,26.09404433,27.02482358,49.34096733,37.75376305,28.881465390000002
Agiez,57.570916270000005,45.09704257,42.668611320000004,23.846870210000002,39.57364688,54.70099056,44.11244885999999,24.87227358,23.767179950000003,42.06737591,45.92016948,37.781263599999996,25.23803558,23.2253065,36.65329533,44.04246245,49.35362834,40.304783539999995,57.22511869,49.257285409999994,2.2278645360000002,12.066895850000002,10.15679928,31.784419430000003,30.36607051,21.911469359999998,43.12132412,30.92647085,5.89997378,25.611330470000002,23.35078657,37.53078761,26.96971378,25.242320199999998,40.15884671,38.75555808,38.09487317,11.15919009,56.764266969999994,44.17970948,40.74099966,23.07154294,35.1892327,11.69553297,39.31662263,12.68075438,40.558090660000005,55.378406479999995,49.25726015,39.07637149
Aigle,1.032805771,12.806690360000001,14.70857744,33.77121417,18.088768729999998,21.368316739999997,56.695504070000005,33.35286014,34.454957670000006,15.1803081,12.304886699999999,58.989071689999996,32.90291934,34.627379260000005,53.08102481,56.72954943,7.412525273,17.362425520000002,0.6871833643999999,7.553014193,56.33042862,55.981021330000004,58.04582665,53.23028505,26.42713599,42.13267352,56.93776006,49.9893497,52.30170705,65.0053192,34.70127144,19.7850815,48.10803907,46.98424784,16.76417844,18.14605349,18.79644312,66.24302081,0.5685114925,13.57388444,16.930046139999998,40.98710347,55.753590429999996,48.135994079999996,17.633705000000003,56.95707744,54.89574733,22.576731759999998,7.553029716,17.93274595
Allaman,47.5225528,40.64239135,38.37406615,19.80174039,37.03986552,56.20538763,16.69143687,18.73480193,18.35921927,37.76183612,41.51881034,13.89732027,19.05778862,19.029642289999998,9.405233318,16.649502939999998,41.69698418,37.463396800000005,47.24494343,41.726371050000004,30.78146692,38.7557848,38.1405082,6.848810281,25.526958460000003,9.979854839,16.02508452,3.694247691,23.39530404,19.74368415,18.605347010000003,35.22820291,2.430982582,3.839813371,35.81268295,34.882994780000004,34.45163331,39.58583006,47.214511169999994,39.88623049,37.72058416,38.29657183,57.3578761,18.12352694,35.36996791,39.73948966,13.193869580000001,57.3583395,41.72633161,35.386760269999996
Arnex-sur-Nyon,60.116786399999995,56.34685466,54.36817988000001,38.28118622,53.7083472,72.65866607999999,2.880205603,37.04622329,36.84530145,53.81830579,57.15409926,8.146027651999999,37.307808449999996,37.58891233,9.491932907,2.851356441,56.057519160000005,54.00127878999999,59.90356577,56.1370542,47.4236249,56.33078237,55.249394509999995,13.78320198,43.01580966,28.844311689999998,2.948073482,15.59089256,40.35499698,25.35265227,37.14873805,52.14430848,19.94535686,22.10201009,52.07382116,51.39540313,51.08061871,54.64988151,60.09498034,55.72248066,54.17994863,57.15998724,76.06693858,35.8912129,51.8046518,57.22974102,5.726631365,73.89044347,56.1370132,51.89645023
Arnex-sur-Orbe,54.8414808,42.54034972,40.09010792,20.9130325,37.051099289999996,52.66311028,41.98534018,21.91066687,20.800782329999997,39.48016938,43.37626644,35.952830399999996,22.28166134,20.27369297,34.46875196,41.918714740000006,46.674938739999995,37.775528709999996,54.49667322,46.5837395,4.216544058999999,13.16317432,11.829996269999999,29.68827213,27.553540679999998,19.04960466,41.029522400000005,28.62094217,3.182314691,24.92455502,20.389715680000002,34.98706892,24.55123772,22.737931670000002,37.54246775,36.14325633,35.48434565,14.12663676,54.05211797,41.620808319999995,38.20787706,21.82968384,35.54367089,8.850759038,36.70909546,13.95711305,38.40730863,53.38629603,46.58371334,36.47916585
Arzier-Le Muids,60.53176427,54.70456989,52.49687641,33.92516683,51.287789190000005,70.45623151,9.415443995,32.950115059999995,32.49321447,51.89633898,55.56714471,1.339731763,33.29180538,33.10445964,7.00229111,9.319100091000001,55.351028420000006,51.69200645,60.27907998,55.3982589,39.27406161,48.54444873,47.20959256,7.535309224,39.829925499999995,23.499960259999998,8.215852201,10.6181461,32.50175137,16.16723326,32.6974025,49.50415108,14.29406458,16.3665411,49.98367807,49.09921278,48.68631162,45.90096557,60.34125409,53.97798313,51.93651906,51.233907980000005,69.35216070999999,28.662644370000002,49.57367585,49.38035671,7.432243048999999,71.62064529,55.39821862,49.60418871
Assens,43.40231078,31.16415555,28.69633287,10.247586230000001,25.723399410000003,42.20984781,40.17271678,11.56223424,10.59172207,28.079515400000002,32.0120107,36.01288972,11.83863056,9.853413608999999,32.739301319999996,40.12776634,35.227446709999995,26.43771545,43.05707332,35.13683115,14.176954180000001,17.560957679999998,18.258826199999998,28.82572073,16.205621139999998,13.67978179,39.45558799,26.634200120000003,10.30804993,30.31447166,10.10967881,23.63842977,22.28763267,20.12471792,26.12147986,24.7263062,24.06934675,24.48656291,42.60722544,30.24359784,26.86444699,15.38894011,33.864849459999995,8.577081774,25.295101589999998,18.66176511,36.6363182,43.04010746,35.13680487,25.073522819999997
Aubonne,49.23004846,41.72002267,39.3871604,19.84758366,37.84359515,56.957040889999995,18.050677739999998,18.95834693,18.428167409999997,38.761722500000005,42.60848088,13.99334103,19.324427370000002,19.00487934,10.50990843,17.99704615,43.10371093,38.30906557,48.94322577,43.12158267,28.56657505,36.8446146,36.07766222,6.67752748,26.134142779999998,9.362797203,17.24737035,4.396078361,21.2189037,17.33113163,18.60721693,35.9577024,0.37582198390000005,2.240163554,36.76753657,35.763555460000006,35.29588743,37.1227679,48.87380522,40.9324853,38.59070192,37.413813049999995,56.12026639,16.20029904,36.2719389,37.800913269999995,14.4643239,58.07896614,43.12154391999999,36.26289226
Avenches,63.51097399,50.76013295,49.92026281,49.8424406,47.145563970000005,45.60017497,83.80463631,51.39493693,51.0691367,49.79651023,50.93470919,79.3039663,51.345959130000004,50.188503250000004,76.35567827,83.75956683,56.37319366,47.63545527,63.22877114,56.17238312,42.070972909999995,32.28758783,34.738513,72.27920123999999,49.38292841,57.234060490000005,83.08059989,70.24028365,47.28062027,69.7714808,50.62819676,46.64427045,65.88333892,63.72987575,49.46185233,48.66775559,48.3091844,42.145988870000004,62.40107875,50.298389,47.93084465,29.531543720000002,9.767493011000001,50.40088788,48.8387537,31.85149264,80.26473544999999,45.14285854,56.172391020000006,48.493238129999995
Ballaigues,63.209600980000005,51.28115385,48.80449709,28.68015939,45.85058958,61.723964079999995,42.11188686,29.41958907,28.28273016,48.18273913,52.133329270000004,34.971170449999995,29.835326270000003,27.91534053,35.0137598,42.031763250000004,55.18746061,46.56475178,62.868282480000005,55.10769803,9.280916801,18.52069223,15.988559709999999,29.991481670000002,35.80120763,24.0095944,41.02028568,29.90642349,9.92949293,20.42563127,27.93915211,43.764957190000004,26.55645103,25.27252338,46.20313625,44.81546597,44.16177676,11.77832861,62.46719135,50.36051758,46.99104675,30.51101866,41.950418510000006,14.652540230000001,45.38733544,18.87733138,38.70820882,62.44812163,55.10767,45.17487176
Ballens,52.939547229999995,44.0332503,41.58726928,20.5362389,39.58510906,58.3238393,22.99246104,20.121667969999997,19.284613099999998,40.9419606,44.93685223,17.05550221,20.556218949999998,19.59674071,15.55286684,22.9227438,46.16600206,40.13926068,52.63314432,46.15675017,23.07499063,32.008781729999995,30.87553771,10.666264289999999,27.7537862,10.15769867,22.00874505,10.08664087,15.99088678,12.96515842,19.294199,37.56544736,6.9304055479999995,6.290738875,38.88053039,37.72534771,37.18387196,30.96938968,52.4715648,43.18458515,40.47253957,35.12818875,52.73207837,12.011239530000001,38.27263107,32.886255989999995,19.439842990000002,59.361885779999994,46.15671352,38.20401422
Bassins,59.24595248,53.15764135,50.927415509999996,32.15458185,49.660295070000004,68.82815136,10.22367018,31.20237706,30.7260329,50.32221127,54.02522097,2.358372418,31.54993315,31.32602343,6.233425197,10.13027757,53.91929535,50.07560958,58.98797299,53.96218626,37.54322405,46.76622707,45.46536159,5.800507841,38.14768416,21.686250209999997,9.026815354,8.97196337,30.7209575,15.22388478,30.92225154,47.85696555,12.50268745,14.554361709999998,48.39423328,47.48883714,47.06617957,44.32920689,59.03121838,52.42044,50.326770409999995,49.379245770000004,67.50529656,26.82449103,47.96948866,47.61028609,7.665390004,69.98469715,53.962146159999996,47.993294909999996
Baulmes,63.37496285,50.34815429,48.01968915,30.79489804,44.77084284,58.184639600000004,51.500501230000005,31.96687514,30.90252882,47.45494431,51.119211560000004,44.82372941,32.29689558,30.27519844,44.13022466,51.426805959999996,55.00833623,45.515174769999994,63.02687885,54.89333792,6.7272449420000004,9.735653845,6.714697032,39.187965600000005,36.71033786,29.757857899999998,50.47099227,38.54306813,13.76628609,31.081673780000003,30.45557659,42.82551541,34.691646670000004,33.0260873,45.66867075,44.26728405,43.60843087,3.892353466,62.50353228,49.44755065,45.95905083,25.20788478,32.54212878,19.54552076,44.80521682,9.624932996,47.984502670000005,58.715591169999996,54.893316209999995,44.53216819
Bavois,51.63208606,39.07831282,36.65521096,18.40277429,33.55057247,48.851233099999995,43.07566141,19.57262121,18.513683580000002,36.056513769999995,39.89916431,37.56930186,19.900831880000002,17.87934329,35.509100339999996,43.01541128,43.380961909999996,34.28240402,51.28557924,43.28154406,5.816092406,11.71710422,11.288536910000001,30.934717629999998,24.556354250000002,18.50436232,42.18779756,29.489306720000002,5.100011848,27.909999250000002,18.06337539,31.51096644,25.240042170000002,23.26040084,34.158557,32.75423481,32.09314244,16.171824559999997,50.81181796,38.16154296,34.71906465,18.05297825,32.747161479999995,8.937726166000001,33.31328213,12.69384891,39.47836307,49.561096879999994,43.281519339999996,33.069509270000005
Begnins,57.29213933,51.7402643,49.570527150000004,31.55771558,48.47029319,67.62638695,7.744190428,30.49501515,30.11615685,48.97836654,52.594558740000004,2.357796021,30.814334889999998,30.77454422,3.652027141,7.656550543000001,52.237476089999994,48.8517267,57.04303394,52.28935622,38.87517998,47.86713131,46.72452376,5.513389226999999,37.15509283,21.41335623,6.591845877,8.100061205,31.855449619999998,17.922116300000003,30.35409225,46.730706239999996,12.19838085,14.35362249,47.094222280000004,46.249721449999996,45.85652293,46.11441278,57.11828227,51.03093854,49.08303252,49.52275763,68.04325174,27.5708058,46.71183556,48.749949009999995,4.833933594,68.80646109,52.28931577,46.75518199
Belmont-sur-Lausanne,32.32833957,21.122891810000002,18.611796719999997,3.080199251,16.19226238,34.710219599999995,38.38771543,3.912652095,4.4206146099999994,17.96380379,22.018750049999998,36.526828370000004,3.617263156,4.017134674999999,31.787587390000002,38.369203739999996,24.426396970000003,16.808072380000002,31.98814213,24.36183053,25.67928641,27.95521489,29.194660919999997,29.312716950000002,4.9233052090000005,13.79319623,37.98038949,26.326360240000003,20.98288091,36.24813661,4.333368702,14.11164436,22.62208698,20.68654017,15.89506188,14.59775044,13.9917595,35.98283335,31.6038807,20.22261597,17.180107380000003,18.90201538,38.83885155,16.91565422,15.1705156,29.050306720000002,35.21215354,35.750279670000005,24.36180017,15.03535605
Belmont-sur-Yverdon,54.82046744,41.501978,39.25204051,24.169042570000002,35.93791072,48.76346027,51.01479928,25.56439586,24.63178818,38.71543721,42.2379516,45.37759841,25.81000395,23.86433827,43.450087169999996,50.95383995,46.39289664,36.68327469,54.47247059,46.265236019999996,7.031049229000001,3.781828795,4.362747747999999,38.84151662,28.99366486,26.19196999,50.118187989999996,37.438894950000005,12.44437665,34.54739453,24.144284419999998,34.07192832,33.19038534,31.20361307,37.02866597,35.64368942,34.99367246,13.09221033,53.90479914,40.61771785,37.12776366,15.78383102,26.04253054,16.88699851,36.15941358,4.807161717,47.418110659999996,49.284900820000004,46.26521701,35.866557930000006
