Facility,Institution_x,Hospital_Emissions_Annual,Hospital_Emissions_5day
Aigle Pôle Physio-Ergo d'Aigle,HÃ´pital Riviera-Chablais Vaud-Valais,222.90811023622047,3.0535357566605543
Biotonus,"Biotonus, Clinique Bon-Port SA centre de soins mÃ©dicaux & esthÃ©tiques",79.776,1.092821917808219
CIC,Clinique CIC Riviera,161.664,2.2145753424657535
Centre Hospitalier Universitaire Vaudois,CHUV Centre Hospitalier Universitaire Vaudois,22081.32307692308,302.48387776606955
Chamoyron,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Château-d'Oex,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Clinique Bois-Bougy,Clinique Bois-Bougy SÃ rl,207.39,2.840958904109589
Clinique Bois-Cerf,Clinique Bois-Cerf,586.432,8.03331506849315
Clinique Cecil,Clinique Cecil,851.49,11.664246575342466
Clinique La Prairie,Clinique la Prairie SA,136.672,1.8722191780821917
Clinique Valmont,GSMN Schweiz SA - Clinique Valmont,268.896,3.6835068493150684
Clinique de Genolier,GSMN Schweiz SA - Clinique de Genolier,525.888,7.203945205479453
Clinique de Montchoisi,GSMN Schweiz SA - Clinique de Montchoisi,195.264,2.674849315068493
Clinique de la Source,Clinique de La Source,982.432,13.457972602739726
Clinique la Lignière,Clinique la LigniÃ¨re,308.1,4.22054794520548
Clinique la Métairie,Clinique PrivÃ©e La MÃ©tairie SÃ rl,208.96,2.862465753424658
Espace Santé Rennaz,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Fondation Rive-Neuve,Fondation Rive-Neuve - UnitÃ© de Soins Palliatifs,137.02,1.876986301369863
Grand-Chêne,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
HRC,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Hôpital d'Orbe,Etablissements Hospitaliers du Nord Vaudois (eHnv),189.76621621621624,2.599537208441318
Hôpital d'Yverdon-les-Bains,Etablissements Hospitaliers du Nord Vaudois (eHnv),1252.457027027027,17.156945575712697
Hôpital de Chamblon,Etablissements Hospitaliers du Nord Vaudois (eHnv),502.880472972973,6.888773602369493
Hôpital de Gilly,EHC Ensemble hospitalier de la CÃ´te,435.26981818181815,5.962600249066003
Hôpital de Lavaux,HÃ´pital de Lavaux,353.54,4.843013698630138
Hôpital de Morges,EHC Ensemble hospitalier de la CÃ´te,2339.575272727273,32.048976338729766
Hôpital de Nyon,Groupement Hospitalier de l'Ouest LÃ©manique (GHOL) SA,1161.0545454545456,15.90485678704857
Hôpital de Rolle,Groupement Hospitalier de l'Ouest LÃ©manique (GHOL) SA,435.3954545454545,5.964321295143212
Hôpital de Saint-Loup,Etablissements Hospitaliers du Nord Vaudois (eHnv),502.880472972973,6.888773602369493
Hôpital de la Vallée de Joux,PÃ´le santÃ© VallÃ©e de Joux - HÃ´pital de la VallÃ©e de Joux,284.06,3.891232876712329
Hôpital ophtalmique Jules-Gonin,HÃ´pital Ophtalmique Jules Gonin Fondation Asile des Aveugles,617.088,8.453260273972603
Hôpital psychiatrique Nant,Secteur Psychiatrique Est Fondation de Nant,367.4916049382716,5.034131574496872
Hôpital d'Aubonne,EHC Ensemble hospitalier de la CÃ´te,217.63490909090908,2.9813001245330013
Institution de Lavigny,Institution de Lavigny,259.46,3.5542465753424657
La Tour-de-Peilz,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Les Communaux,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Les Moulins,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Les Rosiers,RÃ©seau SantÃ© Balcon du Jura.vd (RSBJ),425.82,5.833150684931506
Molage,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Montreux,Secteur Psychiatrique Est Fondation de Nant,35.852839506172835,0.4911347877557923
Mottex Réadaptation/gériatrie,HÃ´pital Riviera-Chablais Vaud-Valais,445.81622047244093,6.107071513321109
Moudon,HÃ´pital Intercantonal de la Broye (HIB),968.1690789473683,13.262590122566689
Payerne,HÃ´pital Intercantonal de la Broye (HIB),433.3709210526316,5.93658795962509
Permanence de Cossonay,Etablissements Hospitaliers du Nord Vaudois (eHnv),360.5558108108108,4.939120696038504
Providence Permanence médicale Riviera Réadaptation/gériatrie,HÃ´pital Riviera-Chablais Vaud-Valais,679.3390026246719,9.306013734584548
Psychiatrie Nord CPNVD,CHUV Centre Hospitalier Universitaire Vaudois,939.6307692307694,12.871654373024237
Psychiatrie Ouest Hôpital de Prangins,CHUV Centre Hospitalier Universitaire Vaudois,1409.446153846154,19.307481559536356
Pôle Santé Pays-d'Enhaut,PÃ´le santÃ© du Pays-d'Enhaut,185.888,2.5464109589041097
Rennaz Centre hospitalier de Rennaz,HÃ´pital Riviera-Chablais Vaud-Valais,2696.1266666666666,36.933242009132414
Samaritain Site administratif,HÃ´pital Riviera-Chablais Vaud-Valais,0.0,0.0
