OBJECTID;Facility;Address__Facility_;ZIP__Facility_;Town__Facility_;Canton__Facility_;Services__Facility_;Institution;Address__Institution_;Town__Institution_;Medic;Nursing_Staff;Medical_Staff_Other;Beds_Acute_Care;Beds_in_Psychiatric_Wards;Beds_in_Rehab;Beds_in_Birth_Centers;longitude;latitude;Beds_Aggregated;Beds_Total;Size_Category;Cost_per_Bed
604;AKIS Luzern;Kantonsspital 12;6000;Luzern 16;LU;Stat;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2664877.667;1212149.579;;;;
605;AMEOS Seeklinikum Brunnen AG;Gersauerstrasse 8;6440;Brunnen;SZ;Amb, Stat;AMEOS Seeklinikum Brunnen AG;Gersauerstrasse 8;6440 Brunnen;8.46;15.81;17.64;;73;;;2688674.678;1205676.934;;;;
606;AMEOS Spital Einsiedeln AG;Spitalstrasse 28;8840;Einsiedeln;SZ;Amb, Stat;AMEOS Spital Einsiedeln AG;Spitalstrasse 28;8840 Einsiedeln;20.07;108.84;51.91;65;;;;2698700.596;1220817.952;;;;
607;Adullam Spital, Basel;Mittlere Strasse 15;4056;Basel;BS;Amb, Stat;Adullam Spital;Mittlere Strasse 15;4056 Basel;32.73;132;55.21;35;;113;;2610602.503;1267690.722;;;;
608;Adullam Spital, Riehen;Schützengasse 60;4125;Riehen;BS;Amb, Stat;Adullam Spital;Mittlere Strasse 15;4056 Basel;32.73;132;55.21;35;;113;;2616315.117;1270573.213;;;;
609;Adus Medica AG;Breitestrasse 11;8157;Dielsdorf;ZH;Amb, Stat;Adus Medica AG;Breitestrasse 11;8157 Dielsdorf;4.46;11.92;3.76;9;;;;2676270.238;1259175.489;;;;
684;Biotonus;Rue Bon-Port 27;1820;Montreux;VD;Stat;Biotonus, Clinique Bon-Port SA centre de soins médicaux & esthétiques;Rue Bon-Port 27;1820 Montreux;2;15.73;7.2;30;;;;2560124.004;1142110.002;30;30;Small;97500
611;Amb. für Kinder und Jugendliche Freiamt;Zentralstrasse 20;5610;Wohlen;AG;Amb;Psychiatrische Dienste Aargau AG;Königsfelderstrasse 1;5210 Windisch;155.69;488.69;241.57;;489;;;2663386.248;1244701.52;;;;
612;Ambi Flawil;Magdenauerstrasse 1;9230;Flawil;SG;Amb;Kantonsspital St. Gallen;Rorschacher Strasse 95;9007 St. Gallen;905.01;1812.77;666.27;631;;;;2731942.746;1252832.168;;;;
613;Ambi Rorschach;Heidener Strasse 11;9400;Rorschach;SG;Amb;Kantonsspital St. Gallen;Rorschacher Strasse 95;9007 St. Gallen;905.01;1812.77;666.27;631;;;;2755320.38;1260138.326;;;;
614;Ambulante Psychiatrie und Psychotherapie Schwyz;Centralstrasse 5c;6410;Goldau;SZ;Amb;Triaplus AG;Widenstrasse 55;6317 Oberwil bei Zug;61.57;129.42;98.11;;145;;;2684445.631;1211609.629;;;;
615;Ambulante Psychiatrie und Psychotherapie Uri;Reussacherstrasse 32;6460;Altdorf UR;UR;Amb;Triaplus AG;Widenstrasse 55;6317 Oberwil bei Zug;61.57;129.42;98.11;;145;;;2690795.063;1192541.373;;;;
616;Ambulante Psychiatrie und Psychotherapie Zug;Rathausstrasse 1;6340;Baar;ZG;Amb;Triaplus AG;Widenstrasse 55;6317 Oberwil bei Zug;61.57;129.42;98.11;;145;;;2682397.496;1227653.519;;;;
617;Ambulante Reha Chur c/o Kantonsspital Graubünden;Loestrasse 99;7000;Chur;GR;Amb;Kliniken Valens;Taminaplatz 1;7317 Valens;46.6;202.5;136.72;;;246;;2759924.303;1192055.37;;;;
618;Ambulante Reha St.Gallen;Wassergasse 42;9000;St. Gallen;SG;Amb;Kliniken Valens;Taminaplatz 1;7317 Valens;46.6;202.5;136.72;;;246;;2745857.799;1253966.263;;;;
619;Ambulante Reha Triemli Zürich;Birmensdorferstrasse 497;8063;Zürich;ZH;Amb;Kliniken Valens;Taminaplatz 1;7317 Valens;46.6;202.5;136.72;;;246;;2679973.885;1246645.252;;;;
621;Ambulatorium + Tagesklinik Lenzburg;Niederlenzer Kirchweg 1;5600;Lenzburg;AG;Amb;Klinik Im Hasel AG;Hasel 837;5728 Gontenschwil;10.48;24.74;36.15;;71;;;2655419.356;1249167.88;;;;
622;Ambulatorium Aarau;Bahnhofplatz 3H;5001;Aarau;AG;Amb;Schützen Rheinfelden AG Klinik & Ambulatorium;Bahnhofstrasse 19;4310 Rheinfelden;26.38;60.53;57.44;;104;;;2646370.666;1249216.744;;;;
623;Ambulatorium Baden;Bahnhofplatz 1;5400;Baden;AG;Amb;Klinik Im Hasel AG;Hasel 837;5728 Gontenschwil;10.48;24.74;36.15;;71;;;2665570.113;1258734.717;;;;
624;Ambulatorium Baden;Brown Boveri Strasse 7;5400;Baden;AG;Amb;Psychiatrische Dienste Aargau AG;Königsfelderstrasse 1;5210 Windisch;155.69;488.69;241.57;;489;;;2665253.186;1259073.454;;;;
625;Ambulatorium Bern;Schläflistrasse 17;3013;Bern;BE;Amb;Privatklinik Wyss AG;Fellenbergstrasse 32;3053 Münchenbuchsee;26.96;78.96;30.29;;106;;;2600836.006;1200534.125;;;;
626;Ambulatorium Biel;Dählenweg 6;2503;Biel/Bienne;BE;Amb;Privatklinik Wyss AG;Fellenbergstrasse 32;3053 Münchenbuchsee;26.96;78.96;30.29;;106;;;2586472.096;1220273.641;;;;
627;Ambulatorium Burgdorf;Dunantstrasse 7b;3400;Burgdorf;BE;Amb;Universitäre Psychiatrische Dienste Bern (UPD) AG;Bolligenstrasse 111;3072 Ostermundigen;139.57;400.36;222.17;;364;;;2613352.755;1212550.729;;;;
628;Ambulatorium Hallerstrasse Bern Bern;Hallerstrasse 10;3012;Bern;BE;Amb;Universitäre Psychiatrische Dienste Bern (UPD) AG;Bolligenstrasse 111;3072 Ostermundigen;139.57;400.36;222.17;;364;;;2599724.088;1200170.894;;;;
629;Ambulatorium Herzogenbuchsee;Stelliweg 24;3360;Herzogenbuchsee;BE;Amb;SRO AG;St. Urbanstrasse 67;4900 Langenthal;169.4;376.2;161.88;126;34;;;2621240.999;1226832.002;;;;
630;Ambulatorium Hochdorf;Brauiplatz 8;6280;Hochdorf;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2664609.263;1224416.643;;;;
631;Ambulatorium Huttwil;Spitalstrasse 51;4950;Huttwil;BE;Amb;SRO AG;St. Urbanstrasse 67;4900 Langenthal;169.4;376.2;161.88;126;34;;;2630365.049;1218470.468;;;;
632;Ambulatorium Klinik SGM Basel;Chrischonarain 137;4126;Bettingen;BS;Amb;Stiftung für ganzheitliche Medizin;Weissensteinstrasse 30;4900 Langenthal;23.25;34.72;32.77;;53;4;;2618116.013;1268921.392;;;;
633;Ambulatorium Klinik SGM Bern;Speichergasse 27;3011;Bern;BE;Amb;Stiftung für ganzheitliche Medizin;Weissensteinstrasse 30;4900 Langenthal;23.25;34.72;32.77;;53;4;;2600330.343;1199881.815;;;;
634;Ambulatorium Klinik SGM Meggen;Hauptstrasse 52;6045;Meggen;LU;Amb;Stiftung für ganzheitliche Medizin;Weissensteinstrasse 30;4900 Langenthal;23.25;34.72;32.77;;53;4;;2671047.582;1211022.784;;;;
635;Ambulatorium Klinik SGM Spiez;Seestrasse 2;3700;Spiez;BE;Amb;Stiftung für ganzheitliche Medizin;Weissensteinstrasse 30;4900 Langenthal;23.25;34.72;32.77;;53;4;;2618582.439;1170575.008;;;;
636;Ambulatorium Klinik SGM St. Gallen;Rorschacher Strasse 67;9000;St. Gallen;SG;Amb;Stiftung für ganzheitliche Medizin;Weissensteinstrasse 30;4900 Langenthal;23.25;34.72;32.77;;53;4;;2746780.82;1254814.992;;;;
637;Ambulatorium Langenthal;Marktgasse 18;4900;Langenthal;BE;Amb;SRO AG;St. Urbanstrasse 67;4900 Langenthal;169.4;376.2;161.88;126;34;;;2626519.648;1229074.022;;;;
638;Ambulatorium Leutschenbach Zentrum für Soziale Psychiatrie;Thurgauerstrasse 80;8050;Zürich;ZH;Amb;Psychiatrische Universitäts-Klinik Zürich;Lenggstrasse 31;8032 Zürich;247.33;809.71;311.97;;545;;;2684273.299;1252541.951;;;;
639;Ambulatorium Luzern;Löwengraben 20;6004;Luzern;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2665726.504;1211668.687;;;;
640;Ambulatorium Luzern;Kantonsspital 12;6000;Luzern 16;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2664903.188;1212158.77;;;;
641;Ambulatorium Löwen;Marktstrasse 8;5630;Muri AG;AG;Amb;Stiftung Spital Muri;Spitalstrasse 144;5630 Muri AG;104.19;236.05;121.29;101;;;;2668004.203;1236463.889;;;;
642;Ambulatorium Münsingen;Dorfmattweg 8a;3110;Münsingen;BE;Amb;Spital STS AG;Krankenhausstrasse 12;3600 Thun;257.51;667.97;228.11;242;0;;;2609103.534;1191361.162;;;;
643;Ambulatorium Niederbipp;Anternstrasse 24;4704;Niederbipp;BE;Amb;SRO AG;St. Urbanstrasse 67;4900 Langenthal;169.4;376.2;161.88;126;34;;;2618713.295;1235714.114;;;;
644;Ambulatorium Privatklinik Meiringen Bern;Speichergasse 27;3011;Bern;BE;Amb;Privatklinik Reichenbach bei Meiringen AG;Willigen;3860 Meiringen;36.86;143.78;42.24;;187;;;2599936.453;1199601.813;;;;
645;Ambulatorium Privatklinik Meiringen Interlaken;Untere Bönigstrasse 8;3800;Interlaken;BE;Amb;Privatklinik Reichenbach bei Meiringen AG;Willigen;3860 Meiringen;36.86;143.78;42.24;;187;;;2632865.797;1171032.639;;;;
646;Ambulatorium Rheinfelden;Kaiserstrasse 21;4310;Rheinfelden;AG;Amb;Schützen Rheinfelden AG Klinik & Ambulatorium;Bahnhofstrasse 19;4310 Rheinfelden;26.38;60.53;57.44;;104;;;2626462.199;1266840.127;;;;
647;Ambulatorium Sarnen;Brünigstrasse 183;6060;Sarnen;OW;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2661474.084;1193496.678;;;;
648;Ambulatorium Selhofen Bern;Effingerstrasse 33;3011;Bern;BE;Amb;Stiftung Klinik Selhofen;Emmentalstrasse 8;3400 Burgdorf;0.55;15;7.55;;31;;;2599491.81;1199403.873;;;;
649;Ambulatorium Selhofen Biel;Bahnhofstrasse 7;2502;Biel;BE;Amb;Stiftung Klinik Selhofen;Emmentalstrasse 8;3400 Burgdorf;0.55;15;7.55;;31;;;2585195.299;1220366.444;;;;
650;Ambulatorium Sursee;Surentalstrasse 10;6210;Sursee;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2650924.938;1225448.474;;;;
651;Ambulatorium Südhang Bern;Effingerstrasse 33;3011;Bern;BE;Amb;Stiftung südhang Klinik für Suchttherapien;Südhang 1;3038 Kirchlindach;15.21;19;31.23;;72;;;2599491.81;1199403.873;;;;
652;Ambulatorium Südhang Biel;Bahnhofstrasse 7;2502;Biel/Bienne;BE;Amb;Stiftung südhang Klinik für Suchttherapien;Südhang 1;3038 Kirchlindach;15.21;19;31.23;;72;;;2585195.299;1220366.444;;;;
653;Ambulatorium Südhang Burgdorf;Kirchbergstrasse 97;3402;Burgdorf;BE;Amb;Stiftung südhang Klinik für Suchttherapien;Südhang 1;3038 Kirchlindach;15.21;19;31.23;;72;;;2613315.388;1212503.341;;;;
654;Ambulatorium Wolhusen;Gütsch 1 Josefshaus;6110;Wolhusen;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2648395.841;1212182.336;;;;
655;Ambulatorium Zürich;Forchstrasse 364;8008;Zürich;ZH;Amb, Stat;Psychiatrische Dienste Aargau AG;Königsfelderstrasse 1;5210 Windisch;155.69;488.69;241.57;;489;;;2686046.885;1245214.722;;;;
656;Ambulatorium für Erwachsene Freiamt;Bahnhofstrasse 6;5610;Wohlen;AG;Amb;Psychiatrische Dienste Aargau AG;Königsfelderstrasse 1;5210 Windisch;155.69;488.69;241.57;;489;;;2662953.012;1244620.563;;;;
657;Ambulatorium für Kinder und Jugendliche Aarau;Küttigerstrasse 42;5000;Aarau;AG;Amb;Psychiatrische Dienste Aargau AG;Königsfelderstrasse 1;5210 Windisch;155.69;488.69;241.57;;489;;;2645599.548;1249994.338;;;;
658;Ambulatorium für Konsiliar- und Alterspsychiatrie Dättwil;Husmatt 1;5405;Baden-Dättwil;AG;Amb;Psychiatrische Dienste Aargau AG;Königsfelderstrasse 1;5210 Windisch;155.69;488.69;241.57;;489;;;2663622.396;1256367.086;;;;
659;Ambulatorium für forensische Psychiatrie und Psychotherapie;Südbahnhofstrasse 14D;3007;Bern;BE;Amb;Universitäre Psychiatrische Dienste Bern (UPD) AG;Bolligenstrasse 111;3072 Ostermundigen;139.57;400.36;222.17;;364;;;2599425.155;1198219.587;;;;
660;Ambulatorium und Station Biel;Vogelsang 84;2501;Biel/Bienne;BE;Amb, Stat;PZM Psychiatriezentrum Münsingen AG;Hunzigenallee 1;3110 Münsingen;66.04;259.39;93.11;;333;;;2585312.151;1221705.327;;;;
661;Ambulatorium und Tagesklinik Biel;Kloosweg 24;2502;Biel/Bienne;BE;Amb;Universitäre Psychiatrische Dienste Bern (UPD) AG;Bolligenstrasse 111;3072 Ostermundigen;139.57;400.36;222.17;;364;;;2585673.13;1221826.376;;;;
662;Ambulatorium und Tagesklinik Burgdorf;Kirchbergstrasse 97;3400;Burgdorf;BE;Amb;Regionalspital Emmental AG;Oberburgstrasse 54;3400 Burgdorf;194.41;438.78;154.7;152;51;;;2613315.344;1212503.34;;;;
663;Ambulatorium und Tagesklinik Langenthal;Aarwangenstrasse 20;4900;Langenthal;BE;Amb;SRO AG;St. Urbanstrasse 67;4900 Langenthal;169.4;376.2;161.88;126;34;;;2626507.776;1229462.975;;;;
664;Ambulatorium und Tagesklinik Steffisburg;Aumattweg 66;3612;Steffisburg;BE;Amb;Spital STS AG;Krankenhausstrasse 12;3600 Thun;257.51;667.97;228.11;242;0;;;2613714.256;1180451.688;;;;
665;Ambulatorium und Tagesklinik für Erwachsene Aarau;Bleichemattstrasse 16;5000;Aarau;AG;Amb;Psychiatrische Dienste Aargau AG;Königsfelderstrasse 1;5210 Windisch;155.69;488.69;241.57;;489;;;2645656.044;1249059.648;;;;
666;Ambulatorium und Tageszentrum Fricktal;Baslerstrasse 8;4310;Rheinfelden;AG;Amb;Psychiatrische Dienste Aargau AG;Königsfelderstrasse 1;5210 Windisch;155.69;488.69;241.57;;489;;;2626113.915;1266859.088;;;;
667;Ambulatorium, Tagesklinik und Station Olvido Spiez;General-Guisanstrasse 2;3700;Spiez;BE;Amb, Stat;Universitäre Psychiatrische Dienste Bern (UPD) AG;Bolligenstrasse 111;3072 Ostermundigen;139.57;400.36;222.17;;364;;;2618319.451;1171132.426;;;;
668;Ambulatorium/Tageskl. Liestal;Spitalstrasse 1;4410;Liestal;BL;Amb;Psychiatrie Baselland;Bienentalstrasse 7;4410 Liestal;91.78;245.48;132.61;;246;;;2622050.78;1259754.581;;;;
669;Ambulatorium/Tageskl. Münchenst.;Emil Frey-Strasse 55;4142;Münchenstein;BL;Amb;Psychiatrie Baselland;Bienentalstrasse 7;4410 Liestal;91.78;245.48;132.61;;246;;;2613032.408;1264391.981;;;;
670;Andreas Klinik;Rigistrasse 1;6340;Cham;ZG;Amb, Stat;Andreas Klinik;Rigistrasse 1;6330 Cham;10.93;138.33;26.84;56;;;;2677092.454;1226055.193;;;;
671;Asana Spital Leuggern AG;Kommendeweg 12;5316;Leuggern;AG;Amb, Stat;Asana Spital Leuggern AG;Kommendeweg 12;5316 Leuggern;27.95;108.59;33.12;42;;;;2658585.543;1270288.92;;;;
